Incident #,,,,From,Thru,Description,,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,,,Hassayampa,
18-9292T,2/3,0044 hrs,2/3,0044 hrs,2/3,0044 hrs Under 21 with Alcohol in Body,,,Cleared By Arrest
"",,,,,,,,Academic Village,
18-9316T,2/3,0240 hrs,2/3,0240 hrs,2/3,0240 hrs Assault,,Vista Del Sol,Pending
18-9323T,2/3,0322 hrs,2/3,0320 hrs,2/3,0320 hrs Under 21 with Alcohol in Body,,Vista Del Sol,Cleared By Arrest
"",,,,,,DUI- Extreme w/ BAC of 0.15 or more but less that,,,
"",,,,,,,,Block 2100 of S Rural,
18-9335T,2/3,0434 hrs,2/3,0434 hrs,2/3,"0434 hrs 0.2, DUI w/ BAC of .08 or Higher, DUI- Alcohol,",,,Cleared By Arrest
"",,,,,,,,Rd,
"",,,,,,"Drug, Vapor, Combination Thereof",,,
18-9367T,2/3,0826 hrs,2/1,1200 hrs,2/3,0830 hrs Fraudulent Schemes and Practices,,Hayden Library,Pending
18-9390T,2/3,0945 hrs,2/3,0930 hrs,2/3,0930 hrs Criminal Damage,,Schwada Building,Pending
"",,,,,,,,Sun Devil Fitness,
18-9446T,2/3,1313 hrs,2/2,2000 hrs,2/3,1300 hrs Theft,,,Pending
"",,,,,,,,Complex,
18-9473T,2/3,1618 hrs,2/3,1540 hrs,2/3,1618 hrs Bike Theft,,Jimmy Johns,Pending
18-9522T,2/3,2126 hrs,2/3,1845 hrs,2/3,2030 hrs Criminal Damage,,University Center,Pending
"",,,,,,,,Hassayampa,
18-80000035T,2/3,1305 hrs,1/30,1000 hrs,2/2,2000 hrs Bike Theft,,,Pending
"",,,,,,,,Academic Village,
"",,,,,,,,Physical Sciences,
18-80000036T,2/3,1657 hrs,2/1,1030 hrs,2/1,1145 hrs Bike Theft,,,Pending
"",,,,,,,,Building F-wing,
18-80000046T,2/3,1019 hrs,2/3,1830 hrs,2/3,2100 hrs Bike Theft,,Memorial Union,Pending
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,Description,,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,"Possession of Marijuana, Possession of Drug",,Block 1000 of E Playa,
18-9569T,2/4,0148 hrs,2/4,0148 hrs,2/4,0300 hrs,,,Cleared By Arrest
"",,,,,,"Paraphernalia, Driving with a Suspended License",,Del Norte Dr,
18-9575T,2/4,0246 hrs,2/4,0246 hrs,2/4,0330 hrs Assault,,E 10th St/ S Mill Ave,Cleared By Arrest
"",,,,,,"Possession of Marijuana, Possession of Drug",,,
18-9729T,2/4,2341 hrs,2/4,2341 hrs,2/5,0050 hrs,,Tooker House,Cleared By Arrest
"",,,,,,Paraphernalia,,,
18-80000038T,2/4,1251 hrs,2/3,1240 hrs,2/4,0140 hrs Bike Theft,,Palo Verde East,Pending
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,Description,,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
18-9760T,2/5,0643 hrs,2/5,0643 hrs,2/5,0643 hrs Criminal Trespass- 1st Degree,,Vista Del Sol,Cleared By Arrest
18-9836T,2/5,1009 hrs,2/4,0400 hrs,2/4,0530 hrs Criminal Damage,,Vista Del Sol,Pending
"",,,,,,,,W 9th St/ S Maple,
18-9886T,2/5,1305 hrs,2/5,1305 hrs,2/5,"1305 hrs DUI- Alcohol, Drug, Vapor, Combination Thereof",,,Cleared By Arrest
"",,,,,,,,Ave,
18-9961W,2/5,1830 hrs,2/4,1700 hrs,2/4,1700 hrs Theft,,Fletcher Library,Pending
"",,,,,,"Possession of Marijuana, Possession of Drug",,S Sossman Rd/ E,
18-10022P,2/5,2312 hrs,2/5,2312 hrs,2/5,2312 hrs,,,Cleared By Arrest
"",,,,,,Paraphernalia,,Tahoe Ave,
"",,,,,,,,Buisness,
18-80000041T,2/5,1745 hrs,2/1,1100 hrs,2/1,1500 hrs Bike Theft,,Administration C,Pending
"",,,,,,,,Wing,
"",,,,,,,,Sun Devil Fitness,
18-80000039T,2/5,1802 hrs,2/1,1755 hrs,2/5,1755 hrs Theft,,,Pending
"",,,,,,,,Center,
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,Description,,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
18-10114T,2/6,0832 hrs,2/5,1600 hrs,2/6,0830 hrs Unlawful Use of Means of Transportation,,Parking Lot 72,Pending
18-10252T,2/6,1814 hrs,2/6,1100 hrs,2/6,1600 hrs Theft,,Coor Hall,Pending
18-10257T,2/6,1928 hrs,2/6,1900 hrs,2/6,1901 hrs Theft by Misrepresentation,,Parking Structure 1,Pending
"",,,,,,"Possession of Drug Paraphernalia, Driving with a",,S Rural Rd/ E,
18-10261T,2/6,1951 hrs,2/6,1951 hrs,2/6,1951 hrs,,,Pending
"",,,,,,Suspended License,,Broadmor Dr,
"",,,,,,,,Farmer Education,
18-80000040T,2/6,1128 hrs,2/5,1500 hrs,2/5,1900 hrs Bike Theft,,,Pending
"",,,,,,,,Building,
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,Description,,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
18-10357T,2/7,0319 hrs,2/7,0319 hrs,2/7,0407 hrs Criminal Trespass 3rd Degree,,Wrigley Hall,Cleared By Arrest
18-10426W,2/7,1113 hrs,2/6,1630 hrs,2/7,1045 hrs Burglary,,Casa De Oro,Pending
18-10436D,2/7,1158 hrs,1/21,0202 hrs,1/21,0202 hrs Fraudulent Schemes and Practices,,University Center,Pending
"",,,,,,,,College Avenue,
18-10443T,2/7,1225 hrs,2/6,1300 hrs,2/7,0800 hrs Theft,,,Pending
"",,,,,,,,Commons,
"",,,,,,,,Parking Structure at,
18-10444T,2/7,1229 hrs,2/6,1900 hrs,2/7,0740 hrs Burglary- 3rd Degree Non Residential,,,Pending
"",,,,,,,,Vista Del Sol,
"",,,,,,"Possession of Dangerous Drugs for Sale,",,,
"",,,,,,"Possession of Dangerous Drug, Burglary 3rd",,,
18-10511T,2/7,1841 hrs,2/7,1841 hrs,2/7,1841 hrs,,Footbridge,Cleared By Arrest
"",,,,,,"Degree, Possession of Drug Paraphernalia,",,,
"",,,,,,Tampering with Physical Evidence,,,
18-80000043T,2/7,1154 hrs,2/7,0000 hrs,2/7,0001 hrs Bike Theft,,Memorial Union,Pending
18-80000044T,2/7,0717 hrs,1/31,1100 hrs,1/31,1400 hrs Bike Theft,,Memorial Union,Pending
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,Description,,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,,,Block 700 E,
18-10614T,2/8,0252 hrs,2/8,0252 hrs,2/8,"0628 hrs DUI- Alcohol, Drug, Vapor, Combination Thereof",,,Cleared By Arrest
"",,,,,,,,Broadway Rd,
"",,,,,,,,S Power Rd/ E,
18-10625P,2/8,0432 hrs,2/8,0432 hrs,2/8,0432 hrs Excessive Speed in Residential Area,,,Cleared By Arrest
"",,,,,,,,Williams Field Rd,
18-10673T,2/8,0814 hrs,2/8,1600 hrs,2/8,"0800 hrs Theft, Criminal Damage",,Vista Del Sol,Pending
18-10859W,2/8,2232 hrs,2/8,2215 hrs,2/8,2215 hrs Criminal Trespass-1st Degree,,Casa de Oro,Pending
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,Description,,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,,,N 43rd Ave/ W,
18-10897W,2/9,0123 hrs,2/9,0123 hrs,2/9,0123 hrs Driving on Suspended License,,,Cleared By Arrest
"",,,,,,,,Thunderbird Rd,
"",,,,,,"DUI- Alcohol, Drug, Vapor, Combination Thereof,",,,
"",,,,,,,,W University Dr/ S,
18-10904T,2/9,0151 hrs,2/9,0151 hrs,2/9,0213 hrs DUI-Extreme w/ BAC of 0.15 or more but less than,,,Cleared By Arrest
"",,,,,,,,Ash Ave,
"",,,,,,"0.20, DUI w/ BAC of .08 or Higher",,,
18-10908T,2/9,0213 hrs,2/9,0213 hrs,2/9,0213 hrs Under 21 w/ Alcohol in Body,,Cereus Hall,Cleared By Arrest
"",,,,,,,,W Joan De Arc Ave/,
18-11062W,2/9,1817 hrs,2/9,1817 hrs,2/9,1817 hrs Fail to stop at attended vehicle accident,,,Cleared By Arrest
"",,,,,,,,N 43rd Ave,
"",,,,,,,,Parking Structure at,
18-11097D,2/9,1902 hrs,2/9,2202 hrs,2/9,2224 hrs Possession of Drug Paraphernalia,,,Cleared By Arrest
"",,,,,,,,University Center,
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,Description,,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,"Possession of Marijuana, Possession of Drug",,,
"",,,,,,"Paraphernalia, DUI w/ Drugs or Metabolite, DUI-",,,
18-11128T,2/10,0029 hrs,2/10,0029 hrs,2/10,"0029 hrs Alcohol, Drug, Vapor, Combination Thereof, Under",,Block 700 S Rural Rd,Cleared By Arrest
"",,,,,,21 to Drive/Be in Control of Vehicle w/ Liquor in,,,
"",,,,,,Body,,,
"",,,,,,"Criminal Trespass- 3rd Degree, Under 21 W/",,Block 900 S Forest,
18-11139T,2/10,0111 hrs,2/10,0130 hrs,2/10,0200 hrs,,,Cleared By Arrest
"",,,,,,Alcohol in Body,,Mall,
"",,,,,,,,S Power Rd/ E,
18-11163P,2/10,0452 hrs,2/10,0452 hrs,2/10,0452 hrs Excessive Speed in a residential Area,,,Cleared By Arrest
"",,,,,,,,Verona Ave,
"",,,,,,Aggravated Assault on a Police Officer Executing,,,
18-11288D,2/10,2000 hrs,2/10,2000 hrs,2/10,"2100 hrs Duties, Indecent Exposure, Disorderly Conduct,",,Taylor Place,Cleared By Arrest
"",,,,,,Resisting Arrest,,,
18-11293T,2/10,2038 hrs,2/10,0615 hrs,2/10,2038 hrs Under 21 w/ Alcohol in Body,,Manzanita Hall,Pending
18-11301T,2/10,2152 hrs,2/8,0100 hrs,2/8,1000 hrs Burglary- 2nd Degree,,Manzanita Hall,Unfounded
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,Description,,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
18-11334T,2/11,0331 hrs,2/11,0331 hrs,2/11,0357 hrs Under 21 w/ Alcohol in Body,,Manzanita Hall,Cleared By Arrest
18-11426T,2/11,1322 hrs,2/10,1600 hrs,2/11,0900 hrs Burglary (Vehicle)- 3rd Degree,,Parking Structure 5,Pending
"",,,,,,,,Buisness,
18-11501T,2/11,2228 hrs,2/9,1800 hrs,2/11,1800 hrs Criminal Damage,,Administration C-,Pending
"",,,,,,,,Wing,
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,Description,,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,,,900 Blk S McAllister,
18-11613T,2/12,0903 hrs,2/12,0903 hrs,2/12,0903 hrs Criminal Trespass - 3rd Degree - Real Property,,,Pending
"",,,,,,,,Ave,
"",,,,,,,,Sun Devil Fitness,
18-11628T,2/12,0957 hrs,2/11,1645 hrs,2/11,1800 hrs Bicycle Theft,,,Pending
"",,,,,,,,Complex,
18-11673T,2/12,1330 hrs,2/9,0730 hrs,2/12,1300 hrs Burglary (Vehicle) 3rd Degree-Non Residential,,Parking Structure 7,Pending
18-11692T,2/12,1505 hrs,2/10,2345 hrs,2/12,1520 hrs Burglary (Vehicle) 3rd Degree-Non Residential,,Parking Structure 4,Pending
"",,,,,,"Sexual Assault-Rape, Sexual Abuse, Assault-",,600 Blk E University,
18-11768T,2/12,2120 hrs,8/14,0000 hrs,11/1,0000 hrs,,,Pending
"",,,,,,Intentionally or Recklessly Causing Physical Injury,,Dr,
"",,,,,,Driving with a Suspended/Cancelled/Revoked,,,
18-11771W,2/12,2131 hrs,2/12,2131 hrs,2/12,2131 hrs,,4900 Blk W Wood Dr,Cleared By Arrest
"",,,,,,License,,,
"",,,,,,,,1000 Blk S Forest,
18-11786T,2/12,2225 hrs,2/12,2225 hrs,2/12,2225 hrs Possession of Cancelled/Fictitious License,,,Cleared By Arrest
"",,,,,,,,Mall,
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,Description,,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
18-11915T,2/13,0943 hrs,2/13,0943 hrs,2/13,0943 hrs Theft,,200 Blk E Curry Rd,Pending
"",,,,,,,,600 Blk E University,
18-11945T,2/13,1126 hrs,2/13,1126 hrs,2/13,1126 hrs Bicycle Theft,,,Pending
"",,,,,,,,Blvd,
18-11948T,2/13,1155 hrs,11/1,0600 hrs,11/2,1200 hrs Theft,,800 Blk S Palm Wlk,Pending
"",,,,,,,,700 Blk E Apache,
18-12031T,2/13,1910 hrs,2/10,1700 hrs,2/13,1900 hrs Burglary (Vehicle)-3rd Degree-Non Residential,,,Pending
"",,,,,,,,Blvd,
18-80000051T,2/13,1412 hrs,2/12,0900 hrs,2/13,0145 hrs Bike Theft,,Cereus Hall,Pending
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,Description,,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,,,S Power Rd/ E,
18-12133P,2/14,0419 hrs,2/14,0419 hrs,2/14,0419 hrs Excessive Speed in a residential area,,,Cleared By Arrest
"",,,,,,,,Williams Field Rd,
"",,,,,,,,S Power Rd/ E,
18-12135P,2/14,0445 hrs,2/14,0445 hrs,2/14,0445 hrs Excessive Speed in a residential area,,,Cleared By Arrest
"",,,,,,,,Williams Field Rd,
"",,,,,,,,,Cleared by
18-12173D,2/14,0846 hrs,2/14,0844 hrs,2/14,0844 hrs Indecent Exposure,,Lot 2,
"",,,,,,,,,Exceptional Means
18-12192P,2/14,0825 hrs,2/14,0745 hrs,2/14,0750 hrs Theft,,Altitude Chamber,Pending
"",,,,,,,,Cowden Family,
18-12214T,2/14,1044 hrs,2/6,1740 hrs,2/8,1100 hrs Theft,,,Pending
"",,,,,,,,Resources,
18-12237T,2/14,1210 hrs,2/14,1030 hrs,2/14,1200 hrs Theft,,Memorial Union,Pending
18-12266T,2/14,1347 hrs,4/24,1200 hrs,4/24,1200 hrs Theft,,ISTB 4,Pending
"",,,,,,,,N 49th Ave/ W,
18-12352W,2/14,1952 hrs,2/14,1952 hrs,2/14,1952 hrs Excessive Speed in a residential area,,,Cleared By Arrest
"",,,,,,,,Thunderbird Rd,
18-80000052T,2/14,0920 hrs,2/14,1140 hrs,2/14,1228 hrs Bicycle Theft,,600 Blk E Orange St,Pending
"",,,,,Occurred,,,
"",Date,Time,,,,,,
Incident #,,,,From,Thru,Description,,Location Disposition
"",Reported,Reported,,,,,,
"",,,Date,Time,Date,Time,,
"",,,,,,"Possession Marijuana, Drug Paraphernalia.",,
18-12410T,2/15,0000 hrs,2/15,0000 hrs,2/15,0000 hrs,,200 Blk S Packard Dr Cleared By Arrest
"",,,,,,Marijuana - Possession for Sale,,
"",,,,,,Excessive Speed  - Residential Area or Business,,S Power Rd/E
18-12415P,2/15,0031 hrs,2/15,0031 hrs,2/15,0031 hrs,,Cleared By Arrest
"",,,,,,District,,Williams Field Rd
"",,,,,,"DUI-Alcohol,Drug,Vapor,Combination Thereof.",,
"",,,,,,,,S Power Rd/E Verona
18-12420P,2/15,0110 hrs,2/15,0110 hrs,2/15,0357 hrs DUI w/BAC of .08 or Higher. Extreme w/BAC of,,Cleared By Arrest
"",,,,,,,,Ave
"",,,,,,0.15 or more but less than 0.20.,,
18-12434T,2/15,0221 hrs,2/15,0221 hrs,2/15,0233 hrs Minor with Alcohol in Body,,500 Blk E Orange St Cleared By Arrest
"",,,,,,"Criminal Trespass - 2nd Degree, Possession Drug",,
18-12505D,2/15,0927 hrs,2/15,0905 hrs,2/15,0927 hrs,,400 Blk N Central Ave Cleared By Arrest
"",,,,,,"Paraphernalia, Shoplifting Concealment",,
18-12601T,2/15,1745 hrs,2/15,1700 hrs,2/15,1745 hrs Shoplifting,,300 Blk E Orange St Cleared By Arrest
"",,,,,,Public Nuisance-Injurious to,,
18-12605T,2/15,1814 hrs,2/15,1814 hrs,2/15,1814 hrs,,600 Blk E Orange St Cleared By Arrest
"",,,,,,"Health,Indecent,Offensive",,
18-80000053T,2/15,0130 hrs,2/15,0130 hrs,2/15,"0143 hrs Theft Bicycle, Parts.",,700 Blk E Lemon St Pending
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,Description,,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
18-80000058T,2/16,1328 hrs,2/15,0800 hrs,2/16,1300 hrs Bike Theft,,Villas at Vista Del Sol,Pending
"",,,,,,,,Engineering,
18-80000054T,2/16,1908 hrs,2/16,0705 hrs,2/16,1820 hrs Bike Theft,,,Pending
"",,,,,,,,Research Center,
18-80000055T,2/16,1425 hrs,2/16,1015 hrs,2/16,1120 hrs Bike Theft,,Noble Library,Pending
18-80000060T,2/16,0438 hrs,2/16,0315 hrs,2/16,0325 hrs Theft,,700 Blk E Lemon St,Pending
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,Description,,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,Criminal Trespass-3rd Degree-Real Property. Fail,,700 Blk E Apache,
18-12925T,2/17,0000 hrs,2/17,0000 hrs,2/17,0000 hrs,,,Cleared By Arrest
"",,,,,,to comply with order of a Police Officer,,Blvd,
"",,,,,,"Possession - Narcotic Drugs, Marijuana, Drug",,S Venture Dr/S,
18-12944T,2/17,0214 hrs,2/17,0214 hrs,2/17,0214 hrs,,,Pending
"",,,,,,Paraphernalia,,Solana Dr,
18-12998T,2/17,1154 hrs,2/16,2300 hrs,2/17,1200 hrs Burglary-3rd-Degree-Non Residential,,900 Blk S Myrtle Ave,Pending
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,Description,,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,,,4000 Blk W,
18-13117W,2/18,0154 hrs,2/18,0154 hrs,2/18,"0154 hrs DUI-Alcohol,Drug,Vapor,Combination Thereof",,,Pending
"",,,,,,,,Thunderbird Rd,
18-13128D,2/18,0308 hrs,2/18,0000 hrs,2/18,0300 hrs Burglary-3rd Degree-Non Residential,,700 Blk N 1st St,Pending
18-13195T,2/18,1131 hrs,1/29,0800 hrs,2/17,1700 hrs Theft,,500 Blk Forest Ave,Pending
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,Description,,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,"Child or Vulnerable Adult Abuse. DUI-Alcohol,",,N 49th Ave/W,
18-13300W,2/19,0143 hrs,2/18,2130 hrs,2/19,0143 hrs,,,Pending
"",,,,,,"Drug,Vapor,Combination Thereof",,Thunderbird Rd,
"",,,,,,,,500 Blk E Veterans,
18-13308T,2/19,0309 hrs,2/19,0303 hrs,2/19,0309 hrs Criminal Trespass-3rd Degree-Real Property,,,Pending
"",,,,,,,,Way,
18-13411T,2/19,1210 hrs,2/15,1400 hrs,2/18,2200 hrs Bicycle Theft,,800 Blk E Lemon St,Pending
"",,,,,,,,500 Blk E Orange,
18-13452T,2/19,1523 hrs,2/19,1500 hrs,2/19,1500 hrs Theft,,,Cleared By Arrest
"",,,,,,,,Mall,
18-13475T,2/19,1746 hrs,2/19,1130 hrs,2/19,1130 hrs Bicycle Theft,,1100 Blk S Rural Rd,Pending
18-13504T,2/19,2141 hrs,2/19,2141 hrs,2/19,2141 hrs Criminal Trespass-3rd Degree-Real Property,,500 E Apache Blvd,Cleared By Arrest
18-13508T,2/19,2159 hrs,2/19,2159 hrs,2/19,2242 hrs Possession Drug Paraphernalia,,1400 S Rural Rd,Cleared By Arrest
18-80000056T,2/19,1548 hrs,2/17,1100 hrs,2/19,1535 hrs Bike Theft,,Palo Verde West,Pending
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,Description,,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,Unlawful Use of Means of Transportation - Control,,,
18-13524W,2/20,0005 hrs,2/20,0005 hrs,2/20,0005 hrs,,13000 Blk N 49th Ave,Closed
"",,,,,,(Driver),,,
"",,,,,,Driving on a Suspended/Revoked/Cancelled,,E Apache Blvd/S,
18-13619T,2/20,0935 hrs,2/20,0935 hrs,2/20,1035 hrs,,,Cleared By Arrest
"",,,,,,License,,College Ave,
18-13700T,2/20,1413 hrs,2/20,1413 hrs,2/20,1450 hrs Theft,,100 Blk E Taylor St,Pending
"",,,,,,,,900 Blk S McAllister,
18-13748T,2/20,1704 hrs,2/20,1704 hrs,2/20,1727 hrs Burglary (Vehicle) - 3rd Degree - Non Residential,,,Pending
"",,,,,,,,Ave,
18-13752D,2/20,1803 hrs,2/16,0800 hrs,2/20,1745 hrs Accident - Hit & Run,,500 Blk N 3rd St,Pending
"",,,,,,,,300 Block of S,
18-80000057T,2/20,1045 hrs,2/19,1000 hrs,2/19,1400 hrs Bike Theft,,,Pending
"",,,,,,,,Packard Dr,
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,Description,,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,,,,Cleared by
18-13992W,2/21,1435 hrs,2/21,0947 hrs,2/21,1400 hrs Fail to Stop on sticking unattended vehicle,,Parking Lot 2,
"",,,,,,,,,Exceptional Means
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,Description,,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
18-14142T,2/22,0209 hrs,2/22,0209 hrs,2/22,0415 hrs Aggravated Assault on a Firefighter or Paramedic,,Tooker Hall,Pending
18-14206T,2/22,0841 hrs,2/21,1920 hrs,2/21,1930 hrs Theft,,Gammage Auditorium,Pending
18-14209D,2/22,0849 hrs,2/22,0845 hrs,2/22,0907 hrs Shoplifting,,University Center,Cleared By Arrest
"",,,,,,"Assault, Criminal Damage, Domestic Violence-",,,
18-14249T,2/22,1054 hrs,2/22,1050 hrs,2/22,"1054 hrs Reside together , Domestic Violence-Sexual",,Coor Hall,Cleared By Arrest
"",,,,,,Relationship,,,
"",,,,,,,,Hassayampa,
18-14327T,2/22,1616 hrs,2/21,1800 hrs,2/22,1600 hrs Theft,,,Pending
"",,,,,,,,Academic Village,
"",,,,,,,,S Power Rd/ S,
18-14352P,2/22,1831 hrs,2/22,1831 hrs,2/22,1831 hrs Excessive Speed in a residential area,,,Cleared By Arrest
"",,,,,,,,Williams Field Rd,
"",,,,,,"Harassment- Communcation, Interfering with",,,
18-14358T,2/22,1854 hrs,1/15,0000 hrs,2/22,1830 hrs,,Memorial Union,Cleared By Arrest
"",,,,,,Judicial Proceedings,,,
"",,,,,,,,Barrett the Honors,
18-14405T,2/22,2249 hrs,2/17,2158 hrs,2/17,2210 hrs Theft,,,Pending
"",,,,,,,,College,
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,Description,,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
18-14456T,2/23,0239 hrs,2/23,0239 hrs,2/23,"0503 hrs DUI-Alcohol, Drug, Vapor, Combination Thereof",,2000 Blk S Mill Ave,Pending
"",,,,,,Terrorism-Intentionally Engaging in an Act of,,,
"",,,,,,Terrorism. Interference or Disruption of an,,1000 Blk E Playa Del,
18-14540T,2/23,1250 hrs,2/23,1145 hrs,2/23,2014 hrs,,,Pending
"",,,,,,"Educational Institution. Possession - Marijuana,",,Norte Dr,
"",,,,,,Drug Paraphernalia,,,
"",,,2/23,,,,,700 Blk E Apache,
18-14614T,2/23,2045 hrs,,0050 hrs,2/23,0050 hrs Theft,,,Pending
"",,,hrs,,,,,Blvd,
18-80000059T,2/23,1107 hrs,2/23,0930 hrs,2/23,1030 hrs Bicycle Theft,,700 Blk E Terrace Rd,Pending
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,Description,,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
18-14747T,2/24,1052 hrs,2/18,1800 hrs,2/24,0300 hrs Theft,,400 Blk E Lemon St,Pending
"",,,,,,"Surreptitious Photographing, Videotaping, Filming",,1200 Blk S Forest,
18-14766T,2/24,1234 hrs,2/24,1200 hrs,2/24,1230 hrs,,,Pending
"",,,,,,or Digitally Recording,,Ave,
18-14788D,2/24,1529 hrs,2/24,1520 hrs,2/24,1529 hrs Shoplifting - Concealment,,120 Blk E Taylor St,Pending
