"",,,,,,Police Log,,
"",,,,,,Arizona State University Police Department,,
"",,,,,,"Tuesday, May 01, 2012",,
"",,,,,Occurred,,,
"",Date,Time,,,,,,
Incident #,,,,From,,Thru Description,Location,Disposition
"",Reported,Reported,,,,,,
"",,,Date,Time,Date,Time,,
12-8377D,5/1,0051 hrs,4/30,1800 hrs,5/1,0045 hrs Burglary Vehicle,N 1ST/ E Polk,Pending
12-8388T,5/1,0808 hrs,4/29,0745 hrs,5/1,0230 hrs Burglary Vehicle,Parking Structure 2,Pending
12-8389T,5/1,0830 hrs,5/1,0815 hrs,5/1,0820 hrs Theft,Payne Hall,Pending
"",,,,,,,School Of human,
12-8392T,5/1,0837 hrs,5/1,0835 hrs,5/1,1113 hrs Harassment Stalking,,Pending
"",,,,,,,Evolution And Change,
12-8401T,5/1,1038 hrs,4/20,1200 hrs,4/27,1200 hrs Theft,Sun Devil Stadium,Pending
12-8403T,5/1,1046 hrs,4/26,1150 hrs,4/26,1300 hrs Bike Theft,San Pablo Hall,Pending
12-8404T,5/1,1059 hrs,4/13,1200 hrs,4/20,1200 hrs Bike Theft,Palo Verde East,Pending
12-8407T,5/1,1111 hrs,4/30,1200 hrs,4/30,1300 hrs Theft,Memorial Union,Pending
12-8410T,5/1,1837 hrs,11/1,0000 hrs,12/1,0000 hrs Bike Theft,Palo Verde East,Pending
12-8424T,5/1,1522 hrs,5/1,0645 hrs,5/1,1330 hrs Theft,Vista Del Sol,Pending
12-8427T,5/1,1616 hrs,2/18,1400 hrs,4/27,1600 hrs Bike Theft,Hassayampa Phase 1,Pending
12-8429T,5/1,1631 hrs,5/1,0915 hrs,5/1,1047 hrs Theft,Psychology South,Pending
12-8435T,5/1,1837 hrs,10/10,1200 hrs,10/11,0700 hrs Bike Theft,Palo Verde East,Pending
12-8649T,5/3,2248 hrs,5/3,2248 hrs,5/3,2248 hrs,Criminal Trespass,,Cleared By Arrest
"",,,,,,,,Structure,
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,,,200 Block of E Apache,
12-8666T,5/4,0224 hrs,5/4,0224 hrs,5/4,0240 hrs,Driving Under the Influence,,Cleared by Arrest
"",,,,,,,,Blvd,
12-8678T,5/4,0910 hrs,5/3,1200 hrs,5/4,1600 hrs,Theft,Palo Verde Main,Pending
12-8687P,5/4,1052 hrs,4/13,1700 hrs,4/23,0900 hrs,Theft,Peralta Hall,Pending
12-8698W,5/4,1529 hrs,5/4,1510 hrs,5/4,1525 hrs,Theft,Kiva Lecture Hall,Pending
12-8712T,5/4,1839 hrs,5/3,2130 hrs,5/4,1815 hrs,Bike Theft,Lot 3,Pending
12-8730T,5/4,2301 hrs,5/4,2301 hrs,5/4,2311 hrs,Trespassing,Memorial Union,Cleared by Arrest
"",,,,,Occurred,,,
"",Date,Time,,,,,,
Incident #,,,,From,Thru,,Description,Location Disposition
"",Reported,Reported,,,,,,
"",,,Date,Time,Date,Time,,
12-8741T,5/5,0211 hrs,5/5,0211 hrs,5/5,0215 hrs,Public Nuisance,College of Design North Cleared by Arrest
"",,,,,,,,E University Dr / S
12-8744T,5/5,0231 hrs,5/5,0231 hrs,5/5,0247 hrs,"DUI above .08 BAC, DUI to the Slightest Degree",Cleared by Arrest
"",,,,,,,,Dorsey Ln
12-8759T,5/5,1449 hrs,4/26,0000 hrs,5/4,1200 hrs,Bike Theft,Hayden Library Pending
"",,,,,,,,"Lot 52, Wells Fargo"
12-8761T,5/5,1517 hrs,5/5,1230 hrs,5/5/,1510 hrs,Criminal Damage,Pending
"",,,,,,,,Arena
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,,,S Rural Rd / E Lemon,
12-8789T,5/6,0013 hrs,5/6,0013 hrs,5/6,0021 hrs,Driving on Suspended License,,Cleared by Arrest
"",,,,,,,,St,
12-8818P,5/6,1334 hrs,4/29,0900 hrs,5/6,1430 hrs,Custodial Interference,7100 E Thistle Ave,Unfounded
"",,,,,,,,Interdisciplinary,
12-8831T,5/6,2154 hrs,5/6,1200 hrs,5/6,1400 hrs,Bike Theft,Sciences and,Pending
"",,,,,,,,Technology 1,
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
12-8839T,5/7,0158 hrs,5/7,0158 hrs,5/7,0229 hrs,Failure to Provide Truthful Name to Law Enforcement,Palo Verde East,Cleared by Arrest
12-8854T,5/7,1241 hrs,5/3,1500 hrs,5/4,0700 hrs,Criminal Damage,Dixie Gammage,Pending
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,,"DUI to Slightest Degree, DUI With BAC of .08 or",,
"",,,,,,,,E. Broadmoor / S Sierra,
12-8880T,5/8,0058 hrs,5/8,0058 hrs,5/8,0117 hrs,"More, DUI With BAC of 0.15 - 0.20, Failure to Drive",,Cleared by Arrest
"",,,,,,,,Vista,
"",,,,,,,"on Right Side of Road, Improper Right Turn",,
"",,,,,,,,Interdisciplinary,
12-8890T,5/8,0803 hrs,5/7,1215 hrs,5/7,1730 hrs,Bike Theft,Sciences and,Pending
"",,,,,,,,Technology 2,
12-8898T,5/8,1128 hrs,5/7,2130 hrs,5/8,1115 hrs,Theft,Vista del Sol,Pending
"",,,,,,,,Interdisciplinary,
12-8903T,5/8,1354 hrs,4/23,0000 hrs,5/4,1700 hrs,Theft,Sciences and,Pending
"",,,,,,,,Technology 4,
"",,,,,,,"Burglary, Possession of Burglary Tools, Possession of",,
12-8919T,5/8,2009 hrs,5/8,2009 hrs,5/8,2057 hrs,,600 Block S Alpha Dr,Pending
"",,,,,,,Fictitious/Cancelled License,,
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,,,Physical Sciences H-,
12-8954T,5/9,1101 hrs,5/8,0000 hrs,5/8,2359 hrs,Bike Theft,,Pending
"",,,,,,,,Wing,
12-8959T,5/9,1334 hrs,5/3,1850 hrs,5/9,1330 hrs,Criminal Damage,Lot 3,Pending
"",,,,,Occurred,,,
"",Date,Time,,,,,,
Incident #,,,,From,Thru,,Description,Location Disposition
"",Reported,Reported,,,,,,
"",,,Date,Time,Date,Time,,
"",,,,,,,,1100 Block of E.
12-8983T,5/10,0131 hrs,5/10,0131 hrs,5/10,0216 hrs,Disorderly Conduct,Cleared by Arrest
"",,,,,,,,Lemon St
"",,,,,,,,Classroom/Lab/Comput
12-8987W,5/10,0808 hrs,3/16,1700 hrs,4/20,0900 hrs,Theft,Pending
"",,,,,,,,er Classroom
12-8991T,5/10,1019 hrs,4/30,2100 hrs,5/8,0830 hrs,Theft,College of Design North Pending
12-8999D,5/10,1319 hrs,5/9,1200 hrs,5/9,1800 hrs,Theft,Post Office Pending
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
12-9027T,5/11,0110 hrs,5/11,0110 hrs,5/11,0121 hrs,Loitering,Hayden Library,Cleared by Arrest
12-9028T,5/11,0133 hrs,5/11,0133 hrs,5/11,0144 hrs,Loitering,Hayden Library,Cleared by Arrest
"",,,,,,,,600 Block E. University,
12-9030T,5/11,0210 hrs,5/11,0210 hrs,5/11,0246 hrs,"DUI Above .08, DUI Slightest Degree",,Cleared by Arrest
"",,,,,,,,Dr,
12-9033T,5/11,0343 hrs,5/11,0343 hrs,5/11,0358 hrs,Trespassing,900 Block S. Mill Ave,Cleared by Arrest
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,,,S Terrace Rd / E,
12-9083T,5/12,0246 hrs,5/12,0246 hrs,5/12,0301 hrs,DUI,,Cleared by Arrest
"",,,,,,,,Apache Blvd,
12-9085T,5/12,0331 hrs,5/12,0331 hrs,5/12,0340 hrs,Public Urination,Cady Fountain,Cleared by Arrest
"",,,,,,,"Theft, Possession of Marijuana, Fraudulent Use of a",,
12-9096T,5/12,1210 hrs,5/12,1130 hrs,5/12,1215 hrs,,Sonora,Pending
"",,,,,,,Credit Card,,
"",,,,,,,,Physical Sciences H-,
12-9111T,5/12,2204 hrs,5/12,2204 hrs,5/12,2225 hrs,Theft,,Cleared by Arrest
"",,,,,,,,Wing,
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
12-9116T,5/13,0038 hrs,5/13,0038 hrs,5/13,0040 hrs,Minor in Consumption of Alcohol,Parking Lot 16,Cleared by Arrest
"",,,,,,,,E. Apache Blvd. / S.,
12-9124T,5/13,0327 hrs,5/13,0327 hrs,5/13,0355 hrs,DUI- Alcohol,,Cleared by Arrest
"",,,,,,,,McAllister Ave.,
"",,,,,,,,Student Recreation,
12-9139T,5/13,2001 hrs,5/13,1815 hrs,5/13,1950 hrs,Theft,,Inactive
"",,,,,,,,Complex,
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,,,Student Recreation,
12-9161T,5/14,1133 hrs,5/13,1900 hrs,5/13,2030 hrs,Bicycle Theft,,Pending
"",,,,,,,,Complex,
"",,,,,,,"Possession of Marijuana, Possession of Drug",,
12-9193T,5/14,2349 hrs,5/14,2349 hrs,5/14,2349 hrs,,Parking Structure 2,Pending
"",,,,,,,Paraphernalia,,
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
12-9207T,5/15,0810 hrs,5/14,1730 hrs,5/14,2330 hrs,Vehicle Burglary,Parking Lot 59,Pending
12-9215P,5/15,1159 hrs,5/15,1159 hrs,5/15,1159 hrs,Theft,Peralta,Pending
12-9217T,5/15,1211 hrs,4/23,1000 hrs,4/24,1530 hrs,Criminal Damage,Sun Angel Stadium,Pending
12-9222T,5/15,1506 hrs,5/12,1800 hrs,5/13,1500 hrs,Theft,Cholla,Pending
12-9235T,5/15,2157 hrs,5/15,2157 hrs,5/15,2157 hrs,Loitering,Parking Lot 7,Cleared By Arrest
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,,,S Rural Rd/E University,
12-9253T,5/16,0227 hrs,5/16,0227 hrs,5/16,0227 hrs,Driving While Suspended,,Cleared By Arrest
"",,,,,,,,Dr,
12-9294T,5/16,1829 hrs,5/9,1200 hrs,5/9,1800 hrs,Bike Theft,Noble Library,Pending
12-9297W,5/16,2042 hrs,5/16,1945 hrs,5/16,2040 hrs,"Vehicle Burglary, Criminal Damage",Community Park,Pending
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
12-9340 T,5/17,1154 hrs,5/14,1549 hrs,5/14,1549 hrs,Forgery Fraud,Vista Del Sol,Pending
"",,,,,,,,S Mill Ave/ E,
12-9380T,5/17,2318 hrs,5/17,2318 hrs,5/17,2318 hrs,"Driving On Suspended License,",,Cleared By Arrest
"",,,,,,,,Gammage Parkway,
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,,,E Apache Blvd / S,
12-9390T,5/18,0200 hrs,5/18,0200,5/18,0242 hrs,Driving on Suspended License,,Cleared by Arrest
"",,,,,,,,Rural Rd,
"",,,,,,,,S McAllister Ave / E,
12-9436T,5/18,2045 hrs,5/18,2045 hrs,5/19,0054 hrs,Driving on Suspended License,,Cleared by Arrest
"",,,,,,,,University Dr,
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,,,E University Dr / S,
12-9470T,5/19,0218 hrs,5/19,0218 hrs,5/19,0514 hrs,DUI,,Cleared by Arrest
"",,,,,,,,Dorsey Ln,
12-9485T,5/19,1419 hrs,5/18,1700 hrs,5/19,1330 hrs,Criminal Damage,Parking Structure 1,Pending
12-9486T,5/19,1604 hrs,5/19,1100 hrs,5/19,1604 hrs,Bike Theft,800 Block S. Rural Rd,Pending
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,,No Activity,,
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
12-9548T,5/21,0214 hrs,5/21,0214 hrs,5/21,0249 hrs,"Trespassing, Under 21 with Alcohol in Body",Student Recreation Pool,Cleared by Arrest
"",,,,,,,,Physical Sciences A-,
12-9551T,5/21,0636 hrs,5/18,1400 hrs,5/21,0645 hrs,Vending Machine Burglary,,Pending
"",,,,,,,,Wing,
"",,,,,,,,6900 Block of E Vosler,
12-9558T,5/21,0953 hrs,5/21,0730 hrs,5/21,0730 hrs,"Assault, Domestic Violence, Criminal Damage",,Pending
"",,,,,,,,Circle,
"",,,,,,,"Forgery, Display Fictitious Plates, No Drivers License,",State Route 202 / S,
12-9595T,5/21,2249 hrs,5/21,2249 hrs,5/21,2259 hrs,,,Cleared by Arrest
"",,,,,,,"Improper Lamp Color, No Mandatory Insurance",Scottsdale Rd,
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
12-9622D,5/22,1045 hrs,5/21,1300 hrs,5/22,0800 hrs,Bike Theft,Taylor Place,Pending
12-9631P,5/22,1404 hrs,5/17,1400 hrs,5/22,0900 hrs,Theft,Palo Blanco,Pending
12-9632T,5/22,1439 hrs,5/22,1439 hrs,5/22,1439 hrs,Criminal Damage,Sonora,Pending
12-9664T,5/22,2140 hrs,5/22,2120 hrs,5/22,2140 hrs,Theft,Wexler Hall,Pending
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,,,1100 Block E Rio,
12-9675T,5/23,0025 hrs,5/23,0025 hrs,5/23,0054 hrs,"Vehicle Burglary, Criminal Damage",,Pending
"",,,,,,,,Salado Parkway,
"",,,,,,,,1000 Block of S.,
12-9700T,5/23,1116 hrs,5/23,1015 hrs,5/23,1110 hrs,"Assault, Domestic Violence",,Pending
"",,,,,,,,McAllister Ave,
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
12-9774T,5/24,2147 hrs,5/24,2147 hrs,5/24,2205 hrs,"Aggravated Assault, Domestic Violence",Parking Structure 7,Cleared by Arrest
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
12-9811T,5/25,1110 hrs,1/25,1110 hrs,5/25,1110 hrs,Criminal Damage,Matthew Hall,Pending
"",,,,,,,,Farington Softball,
12-9862T,5/25,0900 hrs,5/25,0900 hrs,5/25,2328 hrs,Vehicle Burglary,,Pending
"",,,,,,,,Stadium Parking Lot,
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,,,Interdisciplinary,
"",,,,,,,"Trespass 2nd Degree, Loitering, Refused to Provide",,
12-9875T,5/26,0832 hrs,5/26,0832 hrs,5/26,0900 hrs,,Sciences and,Cleared by Arrest
"",,,,,,,True Name to Law Enforcement,,
"",,,,,,,,Technology 2,
"",,,,,,,"Stop, Stand, Park on Roadway, Driving on Suspended",300 Block E. Apache,
12-9876T,5/26,0912 hrs,5/26,0912 hrs,5/26,0920 hrs,,,Cleared by Arrest
"",,,,,,,"License, Failure to Provide Proof of Insurance",Blvd,
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
12-9913T,5/27,0052 hrs,5/27,0052 hrs,5/27,0052 hrs,Disorderly Conduct,Chili's,Cleared By Arrest
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,,,7100 Block of E. Trent,
12-9951P,5/28,1213 hrs,5/19,1800 hrs,5/21,1100 hrs,Bicycle Theft,,Pending
"",,,,,,,,Ave.,
"",,,,,,,,4200 Block of N. Power,
12-9955P,5/28,1625 hrs,5/28,1615 hrs,5/28,1730 hrs,DUI- Alcohol,,Pending
"",,,,,,,,Rd.,
12-9956T,5/28,1859 hrs,5/28,1859 hrs,5/28,2051 hrs,Theft,Hassayampa Phase II,Pending
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,,,Classroom Lab,
12-9963W,5/29,0043 hrs,5/29,0043 hrs,5/29,0043 hrs,"Burglary Vending, Criminal Damage",,Pending
"",,,,,,,,Computer Classroom,
12-9966T,5/29,0155 hrs,5/29,0155 hrs,5/29,0155 hrs,Criminal Damage,Life Sciences C,Cleared By Arrest
"",,,,,,,,Classroom Lab,
12-9968W,5/29,0043 hrs,5/29,0043 hrs,5/29,0043 hrs,"Criminal Damage, Burglary Vending",,Pending
"",,,,,,,,Computer Classroom,
12-9972T,5/29,0552 hrs,5/24,1500 hrs,5/29,0552 hrs,Burglary Vending,Goldwater Building,Pending
"",,,,,,,,E University Dr/S Rural,
12-9978T,5/29,1317 hrs,5/29,1317 hrs,5/29,1317 hrs,Suspended License,,Cleared By Arrest
"",,,,,,,,Rd,
12-9984T,5/29,1419 hrs,5/29,1330 hrs,5/29,1425 hrs,Bike Theft,ASU Bookstore,Pending
12-10002T,5/29,2007 hrs,5/29,1700 hrs,5/29,2000 hrs,Burglary Vending,Farmer Building,Pending
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,,,S College Ave / E,
12-10015T,5/30,0243 hrs,5/30,0243 hrs,5/30,0316 hrs,DUI,,Cleared by Arrest
"",,,,,,,,Encanto Dr,
12-10024T,5/30,0901 hrs,5/5,1100 hrs,5/30,0830 hrs,Criminal Trespass,700 Block S. Alpha Dr,Pending
12-10028T,5/30,0939 hrs,5/30,0745 hrs,5/30,0915 hrs,Theft,Bookstore,Pending
12-10029T,5/30,0901 hrs,5/5,1100 hrs,5/30,0830 hrs,Criminal Trespass,600 Block of Alpha Dr,Pending
12-10035T,5/30,1135 hrs,5/30,1135 hrs,5/30,1135 hrs,Theft of Vehicle,Lot 59 East,Pending
12-10059D,5/30,2007 hrs,5/30,1030 hrs,5/30,2000 hrs,Bike Theft,Ucent,Pending
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
12-10080T,5/31,0944 hrs,5/24,1700 hrs,5/31,0900 hrs,Bike Theft,Cholla,Pending
12-10085T,5/31,1114 hrs,5/31,1114 hrs,5/31,1128 hrs,Criminal Trespass,Memorial Union,Cleared by Arrest
12-10090T,5/31,1528 hrs,5/31,1430 hrs,5/31,1445 hrs,Bike Theft,Vista del Sol,Pending
